end_time,stagnant_time,provider,num_pickedup_LimeLime,num_pickedup_LimeBird,num_pickedup_BirdLime,num_pickedup_BirdBird
2019-06-14T12:17:07Z,5.13888888888889,Bird,0,0,38,71
2019-06-14T09:20:30Z,2.09833333333333,Bird,0,0,8,19
2019-06-14T10:52:59Z,3.56916666666667,Lime,18,39,0,0
2019-06-14T09:34:22Z,2.16305555555556,Bird,0,0,10,20
2019-06-14T11:54:00Z,4.49,Bird,0,0,31,63
2019-06-14T14:41:11Z,7.27638888888889,Bird,0,0,77,123
2019-06-14T10:01:06Z,2.52222222222222,Bird,0,0,14,29
2019-06-17T17:04:52Z,81.2747222222222,Bird,0,0,755,684
2019-06-14T08:48:33Z,0.993888888888889,Bird,0,0,6,11
2019-06-14T23:11:30Z,15.3041666666667,Bird,0,0,247,175
2019-06-14T14:10:48Z,6.22944444444444,Lime,61,111,0,0
2019-06-15T14:21:31Z,30.3863888888889,Bird,0,0,338,315
2019-06-14T11:59:14Z,3.99027777777778,Bird,0,0,29,58
2019-06-14T08:13:07Z,0.204166666666667,Lime,0,2,0,0
2019-06-14T10:54:07Z,2.84833333333333,Bird,0,0,16,33
2019-06-14T12:24:24Z,4.25888888888889,Bird,0,0,34,67
2019-06-14T10:52:19Z,2.62083333333333,Bird,0,0,14,30
2019-06-14T14:24:48Z,6.14222222222222,Lime,64,112,0,0
2019-06-14T09:43:29Z,1.26611111111111,Bird,0,0,7,12
2019-06-14T13:18:20Z,4.61,Bird,0,0,39,80
2019-06-14T15:42:50Z,6.94916666666667,Bird,0,0,93,137
2019-06-14T15:00:39Z,6.19638888888889,Lime,81,119,0,0
2019-06-14T08:53:10Z,0.0580555555555556,Bird,0,0,0,0
2019-06-14T10:00:42Z,1.16888888888889,Bird,0,0,7,14
2019-06-14T12:36:14Z,3.69666666666667,Lime,30,67,0,0
2019-06-14T11:07:11Z,2.17027777777778,Lime,15,33,0,0
2019-06-14T09:18:38Z,0.11,Bird,0,0,0,2
2019-06-14T09:34:49Z,0.305555555555556,Lime,2,3,0,0
2019-06-16T04:08:34Z,42.8222222222222,Bird,0,0,446,403
2019-06-14T13:07:18Z,3.77138888888889,Lime,36,72,0,0
2019-06-14T11:09:40Z,1.76,Bird,0,0,14,28
2019-06-14T09:46:30Z,0.344444444444444,Bird,0,0,2,6
2019-06-14T09:46:13Z,0.331388888888889,Bird,0,0,2,5
2019-06-14T19:47:09Z,10.2830555555556,Lime,229,160,0,0
2019-06-14T10:59:04Z,1.43166666666667,Lime,10,23,0,0
2019-06-14T23:06:19Z,13.4752777777778,Bird,0,0,238,159
2019-06-14T09:46:56Z,0.113888888888889,Lime,0,6,0,0
2019-06-14T15:36:49Z,5.94361111111111,Bird,0,0,85,125
2019-06-14T16:36:33Z,6.93777777777778,Bird,0,0,113,147
2019-06-14T12:15:31Z,2.47555555555556,Bird,0,0,25,41
2019-06-14T12:37:52Z,2.81,Lime,25,57,0,0
2019-06-14T10:20:46Z,0.523611111111111,Bird,0,0,3,6
2019-06-14T10:13:30Z,0.401944444444444,Bird,0,0,3,4
2019-06-14T12:24:39Z,2.58555555555556,Bird,0,0,24,48
2019-06-14T15:22:19Z,5.51083333333333,Lime,80,116,0,0
2019-06-14T13:28:03Z,3.50722222222222,Bird,0,0,36,69
2019-06-14T14:23:53Z,4.375,Lime,53,86,0,0
2019-06-14T21:19:03Z,11.195,Bird,0,0,234,149
2019-06-14T11:53:17Z,1.7625,Bird,0,0,16,30
2019-06-14T11:29:30Z,1.36555555555556,Bird,0,0,10,21
2019-06-14T12:39:30Z,2.52194444444444,Bird,0,0,24,53
2019-06-14T14:44:39Z,4.60444444444444,Bird,0,0,63,94
2019-06-14T11:41:13Z,1.51638888888889,Lime,13,23,0,0
2019-06-14T10:53:11Z,0.558333333333333,Bird,0,0,3,7
2019-06-14T11:41:24Z,1.17472222222222,Bird,0,0,12,19
2019-06-14T12:07:56Z,1.57555555555556,Lime,18,31,0,0
2019-06-15T13:41:29Z,27.1083333333333,Bird,0,0,306,266
2019-06-14T13:25:30Z,2.82722222222222,Lime,30,62,0,0
2019-06-14T10:51:23Z,0.0797222222222222,Bird,0,0,0,1
2019-06-14T15:17:16Z,4.48555555555556,Lime,73,105,0,0
2019-06-14T16:09:31Z,5.26277777777778,Bird,0,0,95,120
2019-06-14T13:25:00Z,2.49861111111111,Bird,0,0,29,55
2019-06-14T13:24:07Z,2.46722222222222,Bird,0,0,28,54
2019-06-14T16:38:15Z,5.66916666666667,Lime,106,127,0,0
2019-06-14T11:01:12Z,0.0516666666666667,Bird,0,0,2,3
2019-06-14T11:00:25Z,0.0255555555555556,Bird,0,0,2,1
2019-06-14T11:13:01Z,0.220555555555556,Bird,0,0,2,6
2019-06-14T16:05:23Z,5.07111111111111,Bird,0,0,92,112
2019-06-14T11:39:09Z,0.632222222222222,Lime,4,8,0,0
2019-06-14T13:40:36Z,2.63583333333333,Bird,0,0,32,59
2019-06-16T04:27:09Z,41.3925,Bird,0,0,432,376
2019-06-14T12:06:43Z,1.02027777777778,Bird,0,0,13,17
